message,mentions,extra
"“Ça se passe, on syncrosse en ce moment.” —",@redziation
"""C'est le principe d'une flaque"" -",@iench21
"«Threesome, foursome, wahsome»",@mangolien
« Massi m’a finger le périné » -,@euphoria9175
"""i don't take kindly to people who's tryna shit in my bed"" -",@atlantis11656
cant blame him,@euphoria9175
"""the green m&m gave me my first boner :D"" -",@milkiie
"""t'es pas JF"" -",@atlantis11656
"""i just need to be a chair for a day"" -",@atlantis11656
"""On aura pas a grind lou pendant 1 heure et demi"" -",@redziation
"""C'est comme si on se passait un cadavre"" -",@chtingenieur
"""considere ton penis pogné"" -",@iench21
"""le pauvre caniche 😢 "" - 
""i mean a hole is a hole"" -","@milkiie,@euphoria9175"
"""Inshaleague"" -",@skippayy
"""You know what, fuck you. **unfucks your turkey**""",@skippayy
"""Je l'aime autant que j'aime le frapper. C'est comme mon enfant"" qui parle de son toutou",@euphoria9175
"""The lion has a UTI""",@skippayy
"""Tu peux exploiter des *miners*, juste pas de manière sexuelle"" ",@greatsymphonia
"> a moins que je sois pants down pis ton doigt dans mon cul et passed out, tu m'a pas vacs",@atlantis11656
"""jpense qu'on est pas en train d'address l'elephant in the room... a pas de pénis?"" -","@gorebunz,@iench21"
"""Je vais te feeter mon esti""",@euphoria9175
"""Tout ce qu'on fait à l'ETS, c'est de l'inceste"" -",@mangolien
"""Equinox c'est le 9/11 de l'AEETS"" -",@kariboubob
"""on va au métro on revient dans 20min"" 
 y a 1h",@spiritumjr
"""Est-ce que Rivière des preries c'est pour les femboys?"" -",@gorebunz
-Massi garette,@youllou
"""allez t'es une poubelle"" -Quentin",@the_vess
"""J'aimais ça n'inventer une queue"" -",@youllou
"""ho mais ta gueule pénètre moi"" 
""go""","@the_vess,@youllou"
"""Un jour il va falloir qu'on se pénétrent pour casser la tension sexuelle"" dit au monde <:cool:835018470545948693> du d2020 -",@youllou
je suis socrate dans le voice chat et faker dans la game,@euphoria9175
"""Catégorie Caca Bolduc""",@milkiie
"""Je veux être la toast"" -",@iench21
"""2% de crème"" à propos de la stratégie d'écrémage dans notre cours de Marketing",@lecoss_0
"""Si vous faites de la consultation, chargez donc 100$/h au lieu de 50$/h. Vos clients vont juste penser que vous êtes plus compétent.""",Martin Énault du Centech (cité par notre prof)
"""Return dans ton server rack chatgpt"" -",@mangolien
"""on fait du scrap plus que du booking"" -",@youllou
"""Je suis à 64% certain de ne pas être un pédophile"" ",Le gars du show d'humour.
"""je trouve ça cool, on se fait shafter"" ",@the_vess
"""Veux-tu savoir qu'est-ce que je peux faire avec ma bouche?""",Ghanais
"""Queerbait c'est gay""",Seb
"""Le fascisme n'a pas d'âge"" -",@chilrun
« Je suis si humide en ce moment c’est incroyable »,@skippayy
"""Xavier est devenue une fille de joie""",Copilot
"""What if pain is a speedometer"" ",simo
"""Tu peux jamais écrire complotiste sans plotte""",@skippayy
"""The human experience is like a GitHub repo and we are like side projects""",simo
"""c'est le mangeux de cul de bleuet""",@skippayy
"""Bismillah veut pas dire bon appétit?"" -",@euphoria9175
"""shallout Epstein"" -",@atlantis11656
"""techniquement, est-ce que je suis lesbienne? i like women"" -",@milkiie
"""you think it has a crussy?""",@milkiie
"""j'pense que mon corps est tanné de la caféine"" -",@euphoria9175
c'est pas gay coucher avec moi,JF
"""yo i just wanna go home dawg"" - après une putain de soirée de schizo",@milkiie
"""like your head is funny and you can play with it"" -",@redziation
"""sisyphus scoreboard"" -",@atlantis11656
"""yo shiver me timbers man"" -",@milkiie
"""t'es la meilleure salope of all time"" -",@atlantis11656
"""l'alcoolisme est une culture"" -",@chilrun
"""Je vais juste trash toutes les instances real quick""",@gorebunz
« On peut pas écrire flag sans dag »,@skippayy
« Mon pénis y pousse »,@lihsng 
"""T'es devenu micro hard""
",Le capt de capra
"""Je vais te toucher le pénis mon esti""",@iench21
"""Être français c'est une maladie transmise sexuellement "" -",@kariboubob
"""tu serais mort comme un vieux shaft"" -",@iench21
"""debatablen't"" -",@atlantis11656
Par alliance ça compte pas 🗣️,@euphoria9175
"""Je vais aller faire pipi parce que je meurs"" -",@euphoria9175
"""touch your cousin"" -",@gorebunz
"""Une chance que tu t'appelle Félix [...] et non Mohammed""",@atlantis11656
"""Des fois elle aime ça se faire jork""",@gorebunz
"""si je conduis je tue tout le monde, je vous règle le problème de surpopulation 💥🚗""",Victor
"""vacs eternue!"" -",@youllou
"""je veux mon body pillow de hiranha pour Noël. Je le veux dans mon lit""",@youllou
"""force in the foreskin"" -",@iench21
"""les tomboys d'abord"" -",@mangolien
"""T'avais plus de cock que de tail""",@skippayy
"""avec quel cash? celui que j'utilise pour pas payer ma carte de crédit ou celui que j'utilise pour pas payer mon autre carte de crédit?"" - <:uwucry:793238643039928362>",@atlantis11656
"""Viole c'est ok mais vomir non"" -Lou",
"""fucking kawaii desu ne bro !"" -",@gorebunz
"""j'ai toutes les disabilities: i'm a woman, pis je connais pas ma droite pis ma gauche"" -",@gorebunz
"""la suspiciously durag shaped womb"" -",@spiritumjr
"""j'vais pousser et ça va rentrer"" -",@spiritumjr
"""T'as fait un 9 trou?! Criss de fou!""",@axan9348
"""Mes hanches sont en mode bliblublioublou""",@axan9348
Le seul footballeur que je connais en Argentine c'est Ronaldo,le lift a @redziation
"""Ma bite est bien protégée""
""Ma bite n'est pas paritaire""",@youllou
"""on touche notre bout' de constitution""",@youllou
"""Equinox, c'est comme l'Holocaust. Il faut que les gens s'en souviennent""
",@chtingenieur
"""faut que tu laisse le trou assez petit pour faire genre de la friction"" -",@spiritumjr
"""Il est un misogyn kid?!"" - @Mangolien",
"""papa legault giveth et papa legault taketh away"" -",@the_vess
"""si c'est pas du voyeurisme, c'est de l'espionnage"" -",@the_vess
"""comment on dit moment en français""",@littlecowe
"""viens goûter à mon jus de graine"" - chépasqui dans le voicechat",
"""Y'a tu un oeuf dans le filtre?""",@redziation
"""Poblano"" -",@spiritumjr
"""Lan ETS ... forget"" @Youllou",
"""ça t'impressionne dans les bobettes 🫦"" - (à obviously)","@oligyator,@atlantis11656"
"""id have an orgasm if it was a tui instead""",@mangolien
"""gg ah ouin!""",@littlecowe
"""Lou tu as une opinion hétéro normative""",@littlecowe
"""chus tanné d'embrasser alice""",@youllou
"""Les 3 c: construction, caca et cheminement universitaire"" -",@littlecowe
"""greedy"" - en parlant du griddy",@youllou
": roquefort meilleur que oka?!
 : tu veux te battre?","@littlecowe,@lihsng"
": Alex apprends moi le greedy
 : fromage ?","@littlecowe,@lihsng"
"""je vais rentrer chez moi pour dormir tôt"" - à 22h",@greatsymphonia
"""Ivern, c'est shrek on Ozempic"" -",@skippayy
"""you might be a genius"" - (en parlant de moi obviously) <:200iq:741110946897854586>",@spiritumjr
"""Chui actually la 3e plus fourrable selon mon cousin"" -",@euphoria9175
"""7 milliards de nom, ça se met dans un death note""",@greatsymphonia
"""ceremonie d'ouverture mais c'est l'ouverture de mes veines"" -",@euphoria9175
"""tout est gratuit si tu cours assez vite"" -",@spiritumjr
"""aide toi et Dieu te touche-rotera""",@mangolien
"""j'adore avoir des traces de béton dans l'anus"" -",@youllou
"""Trop hâte d'avoir un gosse pour le frapper"" ",@oligyator
"""furlessona"" -",@mangolien
"""stuf""",@euphoria9175
"""are you gay"" -",@euphoria9175
"""j'aimerais voir pikachu survivre un stabbing"" -",@atlantis11656
"""tu peux pas juste dire ""grange, virgule espace tu bois"" 😭""",Cloclo 
"""Le fleuve Yves Saint Laurent"" ",@lihsng
"""stop, you gonna make me ovulate <:cvnty_louise:1417687301223481394> "" - au milieu de notre cours",@greatsymphonia
"""ong bor"" -",@skippayy
"""McCumShot"" -",@skippayy
"""tes deux yeux, ça marche en sal"" -",@spiritumjr
"""QUOTEDDD""",@milkiie
"""what the hell is a dorsey"" 😭 😭 😭 - on the verge of tears hitting his head against the fucking wall of DES encryption",@milkiie
"""Plus ils sont mature plus ils coûtent cher"" -",@milkiie
"*poke poke* ""J'peux tu jouer avec ton Dockerfile?""",@atlantis11656
"""moi, je chain smoke pas, je chain goon entre mes cours"" -",@skippayy
"""J'ai oublié que ya des oreilles, jpensais que ça partait avec les cheveux""",@euphoria9175
"""tu spread cheeks, tongue first, EEEAGH""",@iench21
"kibdibs hgwu
",@skippay
"""certified rapist"" -",@littlecowe
"""Age isn't the only thing getting gapped tonight""",@skippayy
"""le ciel du Walmart va toujours être beau""",@skippayy
"""my shit is veiny as fuck""",@oligyator
"""Chuis pas raciste chuis juste américain""",@skippayy
"""I like goth mommies,
that is the idea you should have in your head when you think of me"" - simo",,simo
"""Tu connais tu zouboumafou toi?"" -  (à tous les serveurs au mcdo)",@youllou,
"""ma bouche aime ça mais mon corps aime pas ça"" -",@mangolien,
"""Esti que j'ai hâte à être jobless"" -",@euphoria9175,
